woorddeel, deelwoord
marktmonopolie, monopoliemarkt
interactionele, interactioneel
liefde, fideel, fiedel
certificeren, rectificeren
stolling, longlist
zangkoor, koorzang
onzeker, kroezen
deli, lied
mastboom, stamboom, boomstam
dwingen, wending
debatklimaat, klimaatdebat
pels, spel
toeven, voeten
afnemer, afmeren
leuzen, zeulen
rotonde, toonder
geldtas, stageld
gespleten, tegenspel
wandel, dwalen
dna, dan
boordplank, broodplank
vreze, zever
artsenfamilie, tsarenfamilie
wolf, flow
bouwconstructie, constructiebouw
vaalbruin, invulbaar
kastwand, wandkast
postorder, stoporder
griet, terig
achterst, schatter
tegelvloer, vloertegel
potdorie, driepoot
treek, kreet
figuurdans, dansfiguur
verkiezen, verzieken
ree, ere, eer
veterdrop, dropveter
periodetijd, tijdperiode
ontzuilen, ontluizen
taveerne, veterane
wenskaart, waterkans
kriegel, geklier
herstelfunctie, functieherstel
zakpijp, pijpzak
kredietgarantie, garantiekrediet, integratiekader
deurlijst, deurstijl
gelt, telg
bonkerig, bekoring
elpen, pelen
stedenbouwer, onderbewuste
rat, tra
kerngetal, legertank
borend, borden, bonder
schroefblad, bladschroef
ossenwagen, ongewassen
tabaksteler, bestelkaart
straatgedeelte, staartgedeelte
beleidseenheid, eenheidsbeleid
bodedienst, dienstbode
goudstuk, goudkust
tengelwerk, werklengte
vloerveer, overlever
gezel, zegel
val, vla, alv
bloeiend, inboedel
condensatorplaat, plaatcondensator
monogram, nomogram
boerderijmelk, melkboerderij
moederkindje, doemdenkerij
looneis, slooien
waternet, watteren
plankenvloer, vloerplanken
lagenmaat, naamgetal
zijig, ijzig
doorstorten, troostronde
bedbank, bankbed
tweern, erwten
bolderen, belronde
eendelig, geleiden
predatie, pediater
planlast, slaplant
vulgata, vulgaat
snurk, nurks
vindbaar, baardvin
werktaal, taalwerk
verlet, velter
landwijn, wijnland
gronddoel, donorgeld
dineravond, avonddiner
landkrab, randbalk
overwerkt, toverwerk
stierennek, erkentenis
nepper, reppen
tafelwater, watertafel
lenteachtig, netelachtig
kil, lik
