eid, die
pool, loop
rot, tor
knol, lonk
koor, rook
lota, atol
toom, moot
ar, ra
ov, vo
hu, uh
arob, bora
kit, tik
tip, pit
up, pu
eis, sie
arab, bara
kits, stik
rok, kor
draak, kaard
reep, peer
neppil, lippen
park, krap
neon, noen
iva, avi
neeg, geen
teem, meet
liever, reveil
roma, amor
stonk, knots
erom, more
lug, gul
mal, lam
bal, lab
kif, fik
kop, pok
bom, mob
gon, nog
kram, mark
ree, eer
tod, dot
tap, pat
jak, kaj
fot, tof
kw, wk
lava, aval
lts, stl
neet, teen
stap, pats
trens, snert
fats, staf
ha, ah
lyra, aryl
nevens, sneven
nok, kon
gort, trog
lok, kol
dog, god
gij, jig
lin, nil
sip, pis
wan, naw
leg, gel
ne, en
sim, mis
so, os
lei, iel
teil, liet
klok, kolk
led, del
nepper, reppen
stek, kets
tuf, fut
raak, kaar
lut, tul
bus, sub
trad, dart
taarts, straat
vn, nv
lee, eel
bat, tab
mof, fom
cd, dc
tok, kot
lat, tal
spaak, kaaps
foor, roof
krek, kerk
nies, sein
el, le
ave, eva
tol, lot
top, pot
neer, reen
kee, eek
lag, gal
pus, sup
sol, los
snep, pens
pen, nep
law, wal
kas, sak
pils, slip
laag, gaal
plots, stolp
mud, dum
sleets, steels
reet, teer
regel, leger
nebbe, ebben
tag, gat
wolf, flow
ria, air
keer, reek
set, tes
melk, klem
animo, omina
ney, yen
keel, leek
aks, ska
mik, kim
erp, pre
nootmelk, klemtoon
smeet, teems
oed, deo
loot, tool
ai, ia
negge, eggen
luns, snul
eg, ge
knar, rank
roo, oor
taal, laat
krol, lork
vel, lev
fok, kof
reeg, geer
raad, daar
kel, lek
ces, sec
sa, as
gad, dag
nier, rein
rap, par
molk, klom
pi, ip
uk, ku
kat, tak
look, kool
mod, dom
pon, nop
mop, pom
kurk, kruk
er, re
dij, jid
meg, gem
door, rood
fel, lef
reden, neder
he, eh
ik, ki
gen, neg
koortsdroom, moordstrook
som, mos
niks, skin
lens, snel
pos, sop
it, ti
mes, sem
faal, laaf
tips, spit
fa, af
lus, sul
ton, not
gulp, plug
bark, krab
kink, knik
kar, rak
oh, ho
eit, tie
berg, greb
pools, sloop
kil, lik
neger, regen
edi, ide
tops, spot
stop, pots
deel, leed
lor, rol
slop, pols
ie, ei
kei, iek
puh, hup
lap, pal
bol, lob
sjirk, krijs
maan, naam
sier, reis
mak, kam
pook, koop
een, nee
meel, leem
moord, droom
mol, lom
pret, terp
leven, nevel
pink, knip
stort, trots
lord, drol
staat, taats
mots, stom
al, la
tu, ut
iv, vi
part, trap
sir, ris
snob, bons
spat, taps
mp, pm
deens, sneed
git, tig
pak, kap
trof, fort
abel, leba
knop, ponk
ome, emo
kans, snak
stok, kots
net, ten
reliek, keiler
maas, saam
leeg, geel
sic, cis
kut, tuk
als, sla
strook, koorts
bard, drab
fat, taf
col, loc
klak, kalk
dob, bod
ma, am
raam, maar
poort, troop
dar, rad
leer, reel
io, oi
kid, dik
mad, dam
ix, xi
star, rats
feil, lief
oud, duo
rooms, smoor
oir, rio
keet, teek
nabi, iban
era, are
fins, snif
mat, tam
nap, pan
noot, toon
fop, pof
leb, bel
rup, pur
per, rep
step, pets
lets, stel
bef, feb
raf, far
mug, gum
ier, rei
neep, peen
gek, keg
paar, raap
leep, peel
essen, nesse
trok, kort
nes, sen
kom, mok
nat, tan
nestor, rotsen
ral, lar
staak, kaats
stug, guts
vla, alv
lood, dool
lip, pil
liep, peil
moor, room
gok, kog
op, po
kip, pik
plek, kelp
klop, polk
sm, ms
nuf, fun
sap, pas
smos, soms
snee, eens
lede, edel
toog, goot
nur, run
tel, let
ben, neb
